"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1868640254267208159","Mon Dec 16 12:52:08 +0000 2024","0","nesa! Ada yg mau bantuin aku vote video promosi buat studi independen? Reply ya nanti aku pc kalo mau nanti mau barter jg gpp","1868640254267208159","","","in","UNESA KAMPUS 3","0","2","0","https://x.com/unesa_fess/status/1868640254267208159","1650147576577134592","unesa_fess"
"1868612519381606675","Mon Dec 16 11:01:56 +0000 2024","6","ada yang pernah lolos studi independen? aku mau tanya² hehe nesa!","1868612519381606675","","","in","UNESA KAMPUS 3","0","4","0","https://x.com/unesa_fess/status/1868612519381606675","1650147576577134592","unesa_fess"
"1868589523577573646","Mon Dec 16 09:51:37 +0000 2024","0","@keishadieyoung km mau kontak anak 21 yg pas sem 6 ambil wirausaha/ studi independen (?) at the same time gak beb","1868594825618223508","","keishadieyoung","in","","0","1","0","https://x.com/ayeT___T/status/1868594825618223508","1059837510665232384","ayeT___T"
"1868587104525299836","Mon Dec 16 09:21:06 +0000 2024","0","Acara ini turut melibatkan mahasiswa Magang dan Studi Independen Bersertifikat (MSIB) Batch 7 yang berperan aktif dalam perencanaan dan pelaksanaan acara.","1868587145759539552","","StudioPFN","in","Jakarta, Indonesia","0","1","0","https://x.com/StudioPFN/status/1868587145759539552","1667761592","StudioPFN"
"1868587104525299836","Mon Dec 16 09:20:57 +0000 2024","0","PFN Bersama Mahasiswa Magang dan Studi Independen Bersertifikat (MSIB) Menggelar Acara Ephemeral: Screening &amp; Exhibition https://t.co/Na1RP1Al2c","1868587104525299836","https://pbs.twimg.com/media/Ge6OEBya8AACCWe.jpg","","in","Jakarta, Indonesia","0","1","0","https://x.com/StudioPFN/status/1868587104525299836","1667761592","StudioPFN"
"1867349919021060201","Thu Dec 12 23:24:49 +0000 2024","1","Vingkan Chainur Hanna Magang di PT Bayer Indonesia #PTbayer #ptbayerindonesia #magang #msib #pertanian #faperta #agroteknologi #uwks #universitaswijayakusumasurabaya #PTS #PTN #Surabaya #jawatimur #seed #benih #teknologipertanian #mahasiswa #studi #independen #fp #dukuhkupang https://t.co/DJZxHuHmYx","1867349919021060201","https://pbs.twimg.com/media/Geoo2tObsAMnXlr.jpg","","in","Surabaya","0","0","0","https://x.com/Agroteknologiwk/status/1867349919021060201","1632985839922978817","Agroteknologiwk"
"1866484847109435508","Tue Dec 10 14:07:19 +0000 2024","0","studi independen benar benar rill independen sampe mau nanya orang lain bingung pertanyaan mana dulu yang harus ditanyakan","1866484847109435508","","","in","","0","0","0","https://x.com/sound_of_jeha/status/1866484847109435508","1472563555014615040","sound_of_jeha"
"1866091704698220580","Tue Dec 10 12:19:09 +0000 2024","0","@worksfess Valuable banget kok nder karena studi independen kan ngerjain project. Bagus lagi kalau projectnya dibikin portofolio.","1866457624600056201","","worksfess","in","","0","0","0","https://x.com/anotherofuci/status/1866457624600056201","1732424659935621120","anotherofuci"
"1866347199560560940","Tue Dec 10 05:00:22 +0000 2024","0","[ANNOUNCEMENT : INFO SESSION PRE-REGISTRASI KAMPUS MERDEKA BATCH 8 INFINITE LEARNING] Hallo Wamen! Ada informasi penting terkait Info Session/Sosialisasi terkait Program Kampus Merdeka Batch 8 di Infinite Learning (Studi Independen dan Magang). https://t.co/oBnBiND77o","1866347199560560940","https://pbs.twimg.com/media/GeaY4rWawAAV-n7.jpg","","in","Purwokerto, Jateng, Indonesia","0","1","0","https://x.com/hmjmfebunsoed/status/1866347199560560940","153298870","hmjmfebunsoed"
"1866339461048738126","Tue Dec 10 04:57:59 +0000 2024","0","@jjayliey Hai Sobat BRI. Mohon maaf atas ketidaknyamanan yang dialami. Kami informasikan untuk pengecekan status pencairan dan pengiriman dana program Magang dan Studi Independen Bersertifikat (MSIB) dapat konfirmasi secara langsung kepada pihak penyelenggara ya. BRI hanya sebagai","1866346602010480751","","jjayliey","in","Jl Jend Sudirman 44-46 Jakarta","0","0","0","https://x.com/BANKBRI_ID/status/1866346602010480751","1355939492","BANKBRI_ID"
"1866091704698220580","Mon Dec 09 15:50:29 +0000 2024","0","@worksfess aku nyantumin studi independen di cv padahal mitranya ga jelas. Alhamdulillah masih bisa dapet kerja wkwkw","1866148421238989118","","worksfess","in","","0","0","0","https://x.com/Akhmadmif20/status/1866148421238989118","1814972025037086720","Akhmadmif20"
"1866112220897464554","Mon Dec 09 13:26:38 +0000 2024","0","Ada anak manajemen satu projek di studi independen sama gue tapi anaknya gapaham jam jam gaboleh ngehubungin orang lain. Selain itu anak manajemen itu gapaham tuh namanya manajemen resiko studi kelayakan bisnis foroecasting dan business financing kaya roa roe bep pbp.","1866112220897464554","","","in","","0","0","0","https://x.com/ituadori/status/1866112220897464554","3058831832","ituadori"
"1866091704698220580","Mon Dec 09 13:24:43 +0000 2024","0","@worksfess waktu daftar intern aku masukin studi independen ke bagian experience di cv ku sih..","1866111739101888572","","worksfess","in","","0","0","0","https://x.com/gvuily/status/1866111739101888572","876604150880104450","gvuily"
"1866091704698220580","Mon Dec 09 12:09:13 +0000 2024","0","@worksfess Kalau studi independen yg cuma belajar dan mantengin bootcamp gitu sih nggak nder. Pengalaman kerja di studi independen itu... gimana?","1866092738300772466","","worksfess","in","","0","0","0","https://x.com/plie1st/status/1866092738300772466","1751569237863501824","plie1st"
"1866091704698220580","Mon Dec 09 12:05:07 +0000 2024","5","work! MSIB itu setara sama pengalaman magang gak sih? valuable gak ya buat pertimbangan HR? karena aku pengalaman kerja cuma ada studi independen MSIB doang :(","1866091704698220580","","","in","","0","7","0","https://x.com/worksfess/status/1866091704698220580","1244597361826885636","worksfess"
"1866078148502450631","Mon Dec 09 11:13:40 +0000 2024","0","ni mahasiswamu udah stressed grgr finpro studi independen belom ngisi logbook buat laporan akhir presentasi dpl projek uas matkul dan sek mbok tambah nggae muri muri an apalah itu","1866078756970143928","","failuremoon_","in","The Upside Down","0","0","0","https://x.com/failuremoon_/status/1866078756970143928","1254576945536233474","failuremoon_"
"1865055207828394453","Fri Dec 06 15:26:27 +0000 2024","0","studi terlalu independen","1865055207828394453","","","in","","0","0","0","https://x.com/nandizhaa/status/1865055207828394453","1298433318283653121","nandizhaa"
"1864640016951201802","Thu Dec 05 11:56:38 +0000 2024","0","yuk yang mau barter like&amp;follow minta tolong bantuannya buat like dan follow tugas buat studi independen msib like follow tiktok tiktok: https://t.co/QqS4biIbRl klik website aja biar datanya masuk di google analytics website: https://t.co/mPNpMvBAXV","1864640016951201802","","","in","","0","2","0","https://x.com/cam_ilaa12/status/1864640016951201802","1405094006","cam_ilaa12"
